,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration
0,1.6424208e+18,0.0,662.5,667.0,660.0,663.0,255.0,0.0,202.0,DCE.i2301,14400
1,1.642464e+18,1.0,663.0,663.0,651.5,657.5,174.0,202.0,282.0,DCE.i2301,14400
2,1.6424784e+18,2.0,657.5,667.0,657.5,666.0,911.0,282.0,298.0,DCE.i2301,14400
3,1.6425072e+18,3.0,668.0,689.5,668.0,689.0,228.0,298.0,336.0,DCE.i2301,14400
4,1.6425504e+18,4.0,689.0,694.5,681.0,692.0,109.0,336.0,363.0,DCE.i2301,14400
5,1.6425648e+18,5.0,695.0,695.0,681.0,690.5,57.0,363.0,371.0,DCE.i2301,14400
6,1.6425936e+18,6.0,695.0,699.5,690.0,696.0,276.0,371.0,436.0,DCE.i2301,14400
7,1.6426368e+18,7.0,696.0,698.0,689.0,691.5,129.0,436.0,430.0,DCE.i2301,14400
8,1.6426512e+18,8.0,691.5,698.5,691.5,694.5,79.0,430.0,435.0,DCE.i2301,14400
9,1.64268e+18,9.0,694.5,713.0,694.0,710.5,350.0,435.0,576.0,DCE.i2301,14400
10,1.6427232e+18,10.0,710.5,713.5,700.0,704.5,348.0,576.0,676.0,DCE.i2301,14400
11,1.6427376e+18,11.0,704.5,709.0,703.0,705.0,125.0,676.0,685.0,DCE.i2301,14400
12,1.6427664e+18,12.0,708.5,722.0,705.0,716.5,563.0,685.0,808.0,DCE.i2301,14400
13,1.6429824e+18,13.0,718.5,725.0,700.0,707.5,357.0,808.0,830.0,DCE.i2301,14400
14,1.6429968e+18,14.0,708.5,711.0,696.0,697.5,242.0,830.0,958.0,DCE.i2301,14400
15,1.6430256e+18,15.0,699.0,700.5,692.0,694.5,281.0,958.0,1096.0,DCE.i2301,14400
16,1.6430688e+18,16.0,694.5,714.0,694.5,714.0,287.0,1096.0,1061.0,DCE.i2301,14400
17,1.6430832e+18,17.0,714.0,716.5,709.0,715.0,199.0,1061.0,1062.0,DCE.i2301,14400
18,1.643112e+18,18.0,718.0,722.0,710.0,712.0,321.0,1062.0,1035.0,DCE.i2301,14400
19,1.6431552e+18,19.0,712.0,716.0,705.0,706.0,237.0,1035.0,1065.0,DCE.i2301,14400
20,1.6431696e+18,20.0,706.0,721.5,705.0,719.0,293.0,1065.0,1079.0,DCE.i2301,14400
21,1.6431984e+18,21.0,722.0,723.0,715.0,723.0,171.0,1079.0,1096.0,DCE.i2301,14400
22,1.6432416e+18,22.0,723.0,727.5,711.5,717.0,206.0,1096.0,1104.0,DCE.i2301,14400
23,1.643256e+18,23.0,717.0,720.0,715.0,719.0,69.0,1104.0,1114.0,DCE.i2301,14400
24,1.6432848e+18,24.0,720.0,737.0,719.0,734.0,378.0,1114.0,1122.0,DCE.i2301,14400
25,1.643328e+18,25.0,734.0,743.5,729.5,741.5,407.0,1122.0,1091.0,DCE.i2301,14400
26,1.6433424e+18,26.0,741.5,762.5,741.5,757.0,345.0,1091.0,1062.0,DCE.i2301,14400
27,1.644192e+18,27.0,755.0,770.0,737.0,764.5,392.0,1062.0,1156.0,DCE.i2301,14400
28,1.6442064e+18,28.0,764.5,764.5,749.5,752.0,324.0,1156.0,1211.0,DCE.i2301,14400
29,1.6442352e+18,29.0,754.0,777.5,754.0,774.5,570.0,1211.0,1399.0,DCE.i2301,14400
30,1.6442784e+18,30.0,776.0,778.5,765.5,773.0,522.0,1399.0,1542.0,DCE.i2301,14400
31,1.6442928e+18,31.0,773.0,775.5,753.5,760.0,1870.0,1542.0,2711.0,DCE.i2301,14400
32,1.6443216e+18,32.0,757.0,757.0,741.5,746.5,1416.0,2711.0,3248.0,DCE.i2301,14400
33,1.6443648e+18,33.0,746.5,749.0,727.0,728.0,748.0,3248.0,3514.0,DCE.i2301,14400
34,1.6443792e+18,34.0,728.0,733.5,725.0,727.0,841.0,3514.0,4122.0,DCE.i2301,14400
35,1.644408e+18,35.0,730.0,741.5,726.0,741.5,1131.0,4122.0,4851.0,DCE.i2301,14400
36,1.6444512e+18,36.0,741.5,747.5,739.0,747.5,341.0,4851.0,4804.0,DCE.i2301,14400
37,1.6444656e+18,37.0,747.5,762.0,747.5,758.5,425.0,4804.0,4723.0,DCE.i2301,14400
38,1.6444944e+18,38.0,760.0,780.5,760.0,778.5,1986.0,4723.0,5673.0,DCE.i2301,14400
39,1.6445376e+18,39.0,777.5,777.5,762.5,764.0,542.0,5673.0,5685.0,DCE.i2301,14400
40,1.644552e+18,40.0,764.0,768.5,740.0,740.0,752.0,5685.0,5701.0,DCE.i2301,14400
41,1.6445808e+18,41.0,740.0,740.0,708.0,715.0,1910.0,5701.0,6222.0,DCE.i2301,14400
42,1.6447968e+18,42.0,715.0,732.0,715.0,720.0,975.0,6222.0,6441.0,DCE.i2301,14400
43,1.6448112e+18,43.0,720.0,723.0,711.0,723.0,1067.0,6441.0,6946.0,DCE.i2301,14400
44,1.64484e+18,44.0,719.5,720.5,688.5,688.5,2405.0,6946.0,8145.0,DCE.i2301,14400
45,1.6448832e+18,45.0,688.5,692.5,655.0,659.5,2862.0,8145.0,9007.0,DCE.i2301,14400
46,1.6448976e+18,46.0,658.0,658.0,650.0,651.5,2544.0,9007.0,10164.0,DCE.i2301,14400
47,1.6449264e+18,47.0,654.0,666.0,654.0,659.0,3692.0,10164.0,12081.0,DCE.i2301,14400
48,1.6449696e+18,48.0,659.5,667.0,651.0,665.0,1259.0,12081.0,12326.0,DCE.i2301,14400
49,1.644984e+18,49.0,665.0,676.0,665.0,671.5,1121.0,12326.0,12382.0,DCE.i2301,14400
50,1.6450128e+18,50.0,672.0,677.0,655.5,660.5,3608.0,12382.0,15003.0,DCE.i2301,14400
51,1.645056e+18,51.0,660.5,662.0,639.0,650.0,3057.0,15003.0,15780.0,DCE.i2301,14400
52,1.6450704e+18,52.0,649.5,653.0,642.0,645.0,1288.0,15780.0,15790.0,DCE.i2301,14400
53,1.6450992e+18,53.0,642.0,643.0,632.5,634.0,1912.0,15790.0,16272.0,DCE.i2301,14400
54,1.6451424e+18,54.0,635.0,652.0,635.0,650.0,2586.0,16272.0,16374.0,DCE.i2301,14400
55,1.6451568e+18,55.0,650.5,653.0,645.0,649.5,1028.0,16374.0,16420.0,DCE.i2301,14400
56,1.6451856e+18,56.0,650.0,652.0,639.5,644.0,2007.0,16420.0,17220.0,DCE.i2301,14400
57,1.6454016e+18,57.0,644.0,650.0,635.0,642.0,3112.0,17220.0,17465.0,DCE.i2301,14400
58,1.645416e+18,58.0,642.0,659.0,641.0,658.5,1812.0,17465.0,17146.0,DCE.i2301,14400
59,1.6454448e+18,59.0,660.0,668.5,658.0,663.5,2755.0,17146.0,17010.0,DCE.i2301,14400
60,1.645488e+18,60.0,663.5,666.0,652.0,653.0,2217.0,17010.0,17340.0,DCE.i2301,14400
61,1.6455024e+18,61.0,653.0,659.0,639.0,639.5,2485.0,17340.0,18508.0,DCE.i2301,14400
62,1.6455312e+18,62.0,639.0,647.5,637.0,644.5,2118.0,18508.0,18967.0,DCE.i2301,14400
63,1.6455744e+18,63.0,644.5,668.5,642.0,664.0,2947.0,18967.0,18731.0,DCE.i2301,14400
64,1.6455888e+18,64.0,664.0,671.0,653.0,658.5,2572.0,18731.0,18892.0,DCE.i2301,14400
65,1.6456176e+18,65.0,659.0,670.0,657.5,662.0,2150.0,18892.0,19123.0,DCE.i2301,14400
66,1.6456608e+18,66.0,662.0,667.5,653.5,659.5,2124.0,19123.0,19322.0,DCE.i2301,14400
67,1.6456752e+18,67.0,660.5,672.5,660.5,665.5,2094.0,19322.0,19432.0,DCE.i2301,14400
68,1.645704e+18,68.0,668.0,672.0,647.0,647.5,2761.0,19432.0,19848.0,DCE.i2301,14400
69,1.6457472e+18,69.0,649.0,656.0,643.0,647.0,2627.0,19848.0,19972.0,DCE.i2301,14400
70,1.6457616e+18,70.0,647.0,647.0,624.0,643.5,4221.0,19972.0,20608.0,DCE.i2301,14400
71,1.6457904e+18,71.0,644.0,658.0,643.5,651.0,2806.0,20608.0,20114.0,DCE.i2301,14400
72,1.6460064e+18,72.0,653.0,671.0,653.0,662.5,3892.0,20114.0,20203.0,DCE.i2301,14400
73,1.6460208e+18,73.0,662.5,665.5,654.5,664.5,2114.0,20203.0,19466.0,DCE.i2301,14400
74,1.6460496e+18,74.0,666.5,673.5,664.5,668.0,1912.0,19466.0,18924.0,DCE.i2301,14400
75,1.6460928e+18,75.0,669.5,691.5,669.0,687.5,2871.0,18924.0,18484.0,DCE.i2301,14400
76,1.6461072e+18,76.0,687.5,696.0,680.5,693.0,1540.0,18484.0,18193.0,DCE.i2301,14400
77,1.646136e+18,77.0,691.0,705.5,691.0,705.5,2254.0,18193.0,19015.0,DCE.i2301,14400
78,1.6461792e+18,78.0,704.5,717.0,698.0,707.5,3456.0,19015.0,20042.0,DCE.i2301,14400
79,1.6461936e+18,79.0,707.0,713.0,697.5,711.5,5999.0,20042.0,15803.0,DCE.i2301,14400
80,1.6462224e+18,80.0,713.5,722.5,711.0,715.5,4049.0,15803.0,16057.0,DCE.i2301,14400
81,1.6462656e+18,81.0,715.5,765.0,715.5,760.5,5552.0,16057.0,15289.0,DCE.i2301,14400
82,1.64628e+18,82.0,760.0,760.0,740.0,745.5,5048.0,15289.0,16117.0,DCE.i2301,14400
83,1.6463088e+18,83.0,743.0,784.5,743.0,768.5,7055.0,16117.0,12442.0,DCE.i2301,14400
84,1.646352e+18,84.0,768.5,775.0,754.5,769.5,3197.0,12442.0,12442.0,DCE.i2301,14400
85,1.6463664e+18,85.0,768.0,769.5,751.0,769.0,1545.0,12442.0,12588.0,DCE.i2301,14400
86,1.6463952e+18,86.0,769.0,784.0,760.5,781.0,3294.0,12588.0,12026.0,DCE.i2301,14400
87,1.6466112e+18,87.0,790.0,826.5,789.5,792.5,6571.0,12026.0,11326.0,DCE.i2301,14400
88,1.6466256e+18,88.0,792.5,822.0,792.5,821.5,1863.0,11326.0,11468.0,DCE.i2301,14400
89,1.6466544e+18,89.0,822.0,823.5,767.5,804.5,5136.0,11468.0,12342.0,DCE.i2301,14400
90,1.6466976e+18,90.0,807.0,807.0,785.5,790.0,2609.0,12342.0,12582.0,DCE.i2301,14400
91,1.646712e+18,91.0,791.5,815.5,791.5,795.0,2434.0,12582.0,12823.0,DCE.i2301,14400
92,1.6467408e+18,92.0,794.0,804.5,775.0,804.0,3318.0,12823.0,13216.0,DCE.i2301,14400
93,1.646784e+18,93.0,804.0,804.0,788.0,791.0,1814.0,13216.0,13514.0,DCE.i2301,14400
94,1.6467984e+18,94.0,791.0,794.0,766.0,768.0,3075.0,13514.0,13564.0,DCE.i2301,14400
95,1.6468272e+18,95.0,765.0,765.0,732.0,743.0,4290.0,13564.0,14298.0,DCE.i2301,14400
96,1.6468704e+18,96.0,740.0,772.5,721.0,768.5,4995.0,14298.0,14892.0,DCE.i2301,14400
97,1.6468848e+18,97.0,770.0,774.5,758.5,762.5,1689.0,14892.0,14810.0,DCE.i2301,14400
98,1.6469136e+18,98.0,764.0,792.0,764.0,785.0,3317.0,14810.0,14823.0,DCE.i2301,14400
99,1.6469568e+18,99.0,782.0,782.0,751.5,764.0,4100.0,14823.0,15648.0,DCE.i2301,14400
100,1.6469712e+18,100.0,761.5,781.0,759.0,780.0,2366.0,15648.0,15312.0,DCE.i2301,14400
101,1.647e+18,101.0,777.5,780.5,751.0,767.5,4565.0,15312.0,15726.0,DCE.i2301,14400
102,1.647216e+18,102.0,768.5,768.5,748.0,753.0,5724.0,15726.0,16876.0,DCE.i2301,14400
103,1.6472304e+18,103.0,754.0,755.5,734.0,735.0,3310.0,16876.0,17712.0,DCE.i2301,14400
104,1.6472592e+18,104.0,739.0,745.0,730.5,739.5,3882.0,17712.0,18022.0,DCE.i2301,14400
105,1.6473024e+18,105.0,736.0,749.5,711.5,739.5,7634.0,18022.0,17976.0,DCE.i2301,14400
106,1.6473168e+18,106.0,739.0,739.0,722.0,723.0,2319.0,17976.0,18202.0,DCE.i2301,14400
107,1.6473456e+18,107.0,716.0,736.0,711.5,734.5,4236.0,18202.0,17924.0,DCE.i2301,14400
108,1.6473888e+18,108.0,734.5,743.0,732.0,736.0,4563.0,17924.0,18612.0,DCE.i2301,14400
109,1.6474032e+18,109.0,739.0,768.0,739.0,766.0,4284.0,18612.0,18360.0,DCE.i2301,14400
110,1.647432e+18,110.0,768.0,777.5,757.5,760.5,4339.0,18360.0,18723.0,DCE.i2301,14400
111,1.6474752e+18,111.0,762.0,781.0,762.0,777.0,4049.0,18723.0,18892.0,DCE.i2301,14400
112,1.6474896e+18,112.0,776.5,776.5,765.5,776.5,2376.0,18892.0,18759.0,DCE.i2301,14400
113,1.6475184e+18,113.0,779.0,793.0,778.0,791.5,2938.0,18759.0,18701.0,DCE.i2301,14400
114,1.6475616e+18,114.0,793.0,796.5,789.0,793.0,3673.0,18701.0,18830.0,DCE.i2301,14400
115,1.647576e+18,115.0,795.0,797.0,788.0,796.5,2810.0,18830.0,19353.0,DCE.i2301,14400
116,1.6476048e+18,116.0,801.0,805.5,790.0,805.0,2495.0,19353.0,19458.0,DCE.i2301,14400
117,1.6478208e+18,117.0,805.0,805.0,785.0,786.5,3547.0,19458.0,19267.0,DCE.i2301,14400
118,1.6478352e+18,118.0,786.5,799.0,782.0,798.0,1578.0,19267.0,19275.0,DCE.i2301,14400
119,1.647864e+18,119.0,798.0,798.0,787.5,790.5,1802.0,19275.0,19390.0,DCE.i2301,14400
120,1.6479072e+18,120.0,791.0,796.5,785.0,792.5,2288.0,19390.0,19635.0,DCE.i2301,14400
121,1.6479216e+18,121.0,792.5,794.0,770.0,771.0,2869.0,19635.0,20522.0,DCE.i2301,14400
122,1.6479504e+18,122.0,768.0,777.0,761.0,774.5,3809.0,20522.0,21881.0,DCE.i2301,14400
123,1.6479936e+18,123.0,774.5,790.0,769.0,789.5,1790.0,21881.0,21876.0,DCE.i2301,14400
124,1.648008e+18,124.0,789.5,792.0,785.0,790.0,1538.0,21876.0,21688.0,DCE.i2301,14400
125,1.6480368e+18,125.0,790.0,800.0,790.0,792.5,2780.0,21688.0,22781.0,DCE.i2301,14400
126,1.64808e+18,126.0,793.5,800.0,781.0,792.0,2588.0,22781.0,22882.0,DCE.i2301,14400
127,1.6480944e+18,127.0,792.5,798.0,783.0,785.0,1469.0,22882.0,22940.0,DCE.i2301,14400
128,1.6481232e+18,128.0,790.0,806.0,786.0,799.0,5301.0,22940.0,24124.0,DCE.i2301,14400
